PC1,PC2,PC3,cluster,Provinsi
-1.0945595468365354,0.13556453149335468,0.022672174877984452,0,Nusa Tenggara Timur
-1.092176222391572,0.1411157879160747,0.042592533768486485,0,Papua
-1.0819946222597991,0.5849599209745016,-0.3184511214864215,3,Papua Barat
-1.0939690047775912,-0.11229069752742049,-0.05154212121490831,0,Riau
-1.095103059492203,-0.11600900248030754,0.08309891577513207,0,Sulawesi Barat
-1.0953028149717738,-0.027228474779761314,0.08366048821745264,0,Sulawesi Selatan
-1.0926390241099853,0.2807042947049361,-0.012535398688335753,0,Sulawesi Tengah
-1.096274085389723,-0.19999319961615214,0.13184967978368878,0,Sulawesi Tenggara
-1.0939826030532913,0.025891835990361045,-0.04929402555492801,0,Sulawesi Utara
-1.0944022321591547,-0.18352587276357468,0.11218579993706412,0,Sumatera Barat
-1.0950757257767236,-0.14553649862279272,-0.023985691630569517,0,Sumatera Selatan
-1.092485536059712,0.31223097055250193,-0.06141483532808123,3,Sumatera Utara
-0.0911646477834438,0.20059338943722338,0.04705638566901371,0,Aceh
-0.0977679163436278,-0.034198954402327786,0.5471059944738831,2,Bali
-0.10494894849489356,-0.37563474993460133,-0.40191888876540693,1,Banten
-0.0983479958663338,-0.18599602665065262,0.0682727200661043,0,Bengkulu
-0.09623816577050093,-0.07785897827843868,0.29961050715153725,0,DKI Jakarta
-0.09352071211947077,-0.33422320068661193,-0.003107993756255256,0,Daerah Istimewa Yogyakarta
-0.08996212276406368,0.1286433125012998,0.1009117120423999,0,Gorontalo
-0.09263826501933181,0.03922885541030041,0.11913543697243378,0,Jambi
-0.09737556810637216,-0.22116096835105026,-0.2152290226362561,1,Jawa Barat
-0.09749041975987893,-0.14522075331430173,-0.13202590504735612,0,Jawa Tengah
-0.10009856346869128,-0.2906436163792563,-0.07204103136986151,0,Jawa Timur
-0.09122348720120499,-0.029481468617749584,-0.029339950403239112,0,Kalimantan Barat
-0.09445008259126553,-0.15552210946825795,-0.01739651183836044,0,Kalimantan Selatan
-0.0922210311116487,0.050287909621435034,0.02904055771805092,0,Kalimantan Tengah
-0.09540605657616652,-0.24777873896954006,0.05285501301917761,0,Kalimantan Timur
-0.09701855523894665,-0.33451930333752244,0.16716974749420832,0,Kalimantan Utara
-0.09491878573521717,0.0011189071292143637,0.07469401316157132,0,Kepulauan Bangka Belitung
-0.09459684462240148,0.041643456236208465,0.04116522096768227,0,Kepulauan Riau
-0.09637465493733544,-0.3023360763953242,0.1148272763961361,0,Lampung
-0.09436826181240576,-0.14740831517591246,0.22942774339814942,0,Maluku
-0.08309362561158196,0.5007906509155369,-0.03881479984790548,3,Maluku Utara
-0.09326565171159018,0.14290959123543345,-0.09265401263632123,0,Nusa Tenggara Barat
-0.09132913185135294,0.2033762677193387,0.1254530146148548,0,Nusa Tenggara Timur
-0.08038622759909231,1.0287790310491616,-0.27548139066757116,3,Papua
-0.07808954438200999,0.9537341106994468,-0.2733197870449918,3,Papua Barat
-0.08797170971320156,0.38165020482248835,0.03665729335966861,3,Papua Barat Daya
-0.07946254166108702,0.9915731096988729,-0.35660031819066595,3,Papua Pegunungan
-0.09400328328888463,0.08551391687964838,0.17207079767510414,0,Papua Selatan
-0.09435953384013374,0.15926056197052318,0.7971765016863146,2,Papua Tengah
-0.09292041062485623,0.08140744766950192,-0.03195585591982475,0,Riau
-0.09544320371151116,-0.13073342072446792,0.08291918528582365,0,Sulawesi Barat
-0.09573107221626742,-0.06944480891496951,0.06078059060714924,0,Sulawesi Selatan
-0.09231268396092673,0.2342133206573287,0.04418897238962338,0,Sulawesi Tengah
-0.0979066985312329,-0.10848377023225453,0.06337616537265767,0,Sulawesi Tenggara
-0.09479007658296723,0.02557744075065216,-0.00475913332701583,0,Sulawesi Utara
-0.09546565240088967,-0.18325153311753795,0.10278978853994636,0,Sumatera Barat
-0.0960813171159316,-0.1839585720622523,0.017279138195165133,0,Sumatera Selatan
-0.0978136777976033,0.020578842139862275,-0.019174792846136324,0,Sumatera Utara
0.9095977163226507,0.2058185174573346,0.06522077823307126,0,Aceh
0.9011767560789394,-0.08209242785749282,0.5089273471014075,2,Bali
0.895055553605971,-0.617998379943451,-0.500914610702163,1,Banten
0.9000597881026806,-0.3666864306733011,-0.014303149440553553,0,Bengkulu
0.9029753517622794,-0.5011079629122897,-0.43866457588150876,1,DKI Jakarta
0.9043305742454777,-0.41728979152305357,-0.2656506901666972,1,Daerah Istimewa Yogyakarta
0.9104861327330127,0.17320677633280113,-0.0804498217684998,0,Gorontalo
