run,seed,fa_iter,frcm_refine_iter,total_iter_used,total_time_sec,avg_time_per_iter_sec,best_fa_objective,final_refined_objective,n_label_aktif,label_aktif,n_lower_objects,n_boundary_objects,boundary_ratio,min_cluster_size,max_cluster_size,max_cluster_ratio,is_very_imbalanced,n_label_0,n_label_1,n_label_2
48,90,297,9,306,4.99462010001298,0.01632228790853915,57.074218598919316,58.48833590795114,3,"0,1,2",222,32,0.12598425196850394,4,196,0.7716535433070866,False,196,54,4
49,91,297,16,313,5.5665147000108846,0.01778439201281433,49.74566313322992,55.122476333108786,3,"0,1,2",224,30,0.11811023622047244,14,178,0.7007874015748031,False,14,178,62
50,92,297,13,310,6.250909200054593,0.02016422322598256,39.746505788642686,52.67248607544415,3,"0,1,2",181,73,0.2874015748031496,21,130,0.5118110236220472,False,130,21,103
51,93,297,60,357,6.9837118000141345,0.01956221792721046,38.000789485639615,37.06032799564625,3,"0,1,2",24,230,0.905511811023622,30,115,0.452755905511811,False,109,30,115
52,94,297,87,384,7.953743999998551,0.020712874999996227,33.16077967685011,37.38064781175331,3,"0,1,2",27,227,0.8937007874015748,34,116,0.4566929133858268,False,34,104,116
53,95,297,78,375,7.289999600034207,0.019439998933424553,29.01823770490102,37.67962261237281,3,"0,1,2",30,224,0.8818897637795275,38,115,0.452755905511811,False,101,38,115
54,96,297,11,308,4.923069600015879,0.015983992207843762,56.61643084284474,55.07406004643063,3,"0,1,2",221,33,0.12992125984251968,14,184,0.7244094488188977,False,56,184,14
55,97,297,23,320,5.537735800025985,0.017305424375081202,43.80420695172288,52.42686747314913,3,"0,1,2",179,75,0.2952755905511811,21,133,0.5236220472440944,False,21,100,133
56,98,297,21,318,6.144887900038157,0.0193235468554659,40.10282827835498,49.265599937210496,3,"0,1,2",209,45,0.17716535433070865,25,178,0.7007874015748031,False,51,178,25
57,99,297,74,371,6.433465800015256,0.017340878167157025,38.137039000881956,37.06032799211597,3,"0,1,2",24,230,0.905511811023622,30,115,0.452755905511811,False,115,109,30
58,100,297,33,330,7.321350799989887,0.02218591151512087,28.659321006138924,52.67248607532444,3,"0,1,2",181,73,0.2874015748031496,21,130,0.5118110236220472,False,130,21,103
59,101,297,62,359,7.432709600019734,0.020703926462450513,38.900304507914356,37.67962261434849,3,"0,1,2",30,224,0.8818897637795275,38,115,0.452755905511811,False,115,101,38
60,102,297,40,337,8.56220669997856,0.025407141542963085,28.87380485362287,52.67248607525138,3,"0,1,2",181,73,0.2874015748031496,21,130,0.5118110236220472,False,103,130,21
61,103,297,24,321,6.7438365000416525,0.021008836448727888,34.170687541094445,52.47626517850797,3,"0,1,2",183,71,0.2795275590551181,23,127,0.5,False,23,104,127
62,104,297,62,359,7.50176700000884,0.020896286908102617,38.013808724637514,37.06032799282863,3,"0,1,2",24,230,0.905511811023622,30,115,0.452755905511811,False,115,30,109
63,105,297,11,308,5.427473000017926,0.017621665584473787,47.87296961317615,49.265599937211945,3,"0,1,2",209,45,0.17716535433070865,25,178,0.7007874015748031,False,25,51,178
64,106,297,61,358,7.2801545999827795,0.020335627374253575,33.50159545245812,37.67962261456057,3,"0,1,2",30,224,0.8818897637795275,38,115,0.452755905511811,False,38,101,115
65,107,297,80,377,7.306930600025225,0.01938177877990776,38.2198903934551,37.38064780311913,3,"0,1,2",27,227,0.8937007874015748,34,116,0.4566929133858268,False,104,116,34
66,108,297,19,316,4.868709500005934,0.015407308544322576,53.614579858557335,55.11060533846326,3,"0,1,2",221,33,0.12992125984251968,14,184,0.7244094488188977,False,56,14,184
67,109,297,44,341,6.112968600005843,0.017926594134914493,36.82465138996507,52.886797137382985,3,"0,1,2",230,24,0.09448818897637795,24,198,0.7795275590551181,False,198,32,24
68,110,297,8,305,5.644979499978945,0.018508129508127687,45.14688636090799,49.26559993720239,3,"0,1,2",209,45,0.17716535433070865,25,178,0.7007874015748031,False,25,178,51
69,111,297,22,319,6.354156799963675,0.01991898683374193,39.449478705607376,57.398527111912976,3,"0,1,2",221,33,0.12992125984251968,2,190,0.7480314960629921,False,62,2,190
70,112,297,30,327,6.69634359999327,0.0204781149846889,36.0142867495722,55.12247633310878,3,"0,1,2",224,30,0.11811023622047244,14,178,0.7007874015748031,False,178,14,62
71,113,297,26,323,6.580549800011795,0.020373219195082958,38.507928635624616,54.23986290227409,3,"0,1,2",221,33,0.12992125984251968,6,187,0.7362204724409449,False,61,187,6
72,114,297,79,376,6.247986099973787,0.016616984308440923,39.2838065981083,37.26547712411775,3,"0,1,2",26,228,0.8976377952755905,32,116,0.4566929133858268,False,32,106,116
73,115,297,77,374,6.128772400028538,0.01638709197868593,37.58964563029471,37.265477125153836,3,"0,1,2",26,228,0.8976377952755905,32,116,0.4566929133858268,False,106,116,32
74,116,297,16,313,5.520742199965753,0.017638153993500806,46.040511478113615,52.588948071055775,3,"0,1,2",181,73,0.2874015748031496,21,133,0.5236220472440944,False,133,21,100
75,117,297,18,315,5.42215620004572,0.017213194285859428,49.158213142974,52.58665073004609,3,"0,1,2",225,29,0.1141732283464567,25,191,0.7519685039370079,False,25,38,191
76,118,297,31,328,5.5663576000370085,0.01697060243913722,46.43991485588999,52.42686747315336,3,"0,1,2",179,75,0.2952755905511811,21,133,0.5236220472440944,False,21,133,100
77,119,297,83,380,6.4952189000323415,0.017092681315874582,38.66157116376894,37.380647811570206,3,"0,1,2",27,227,0.8937007874015748,34,116,0.4566929133858268,False,116,34,104
78,120,297,30,327,8.280484800052363,0.025322583486398664,30.894013360183465,52.672486075251385,3,"0,1,2",181,73,0.2874015748031496,21,130,0.5118110236220472,False,103,130,21
79,121,297,34,331,7.288662200036924,0.022020127492558685,29.55090837775419,52.6724860752513,3,"0,1,2",181,73,0.2874015748031496,21,130,0.5118110236220472,False,103,21,130
80,122,297,19,316,5.660622199997306,0.017913361392396538,46.68182720061854,55.12247633310879,3,"0,1,2",224,30,0.11811023622047244,14,178,0.7007874015748031,False,178,62,14
81,123,297,16,313,5.141552200017031,0.016426684345102336,52.92634930947896,55.12247633310878,3,"0,1,2",224,30,0.11811023622047244,14,178,0.7007874015748031,False,178,62,14
82,124,297,17,314,5.93033150001429,0.018886406051000924,46.72303661815088,52.586650730045065,3,"0,1,2",225,29,0.1141732283464567,25,191,0.7519685039370079,False,25,191,38
83,125,297,20,317,7.548264699988067,0.0238115605677857,32.878162946660495,52.67248607558646,3,"0,1,2",181,73,0.2874015748031496,21,130,0.5118110236220472,False,130,21,103
84,126,297,28,325,6.442376499995589,0.019822696923063352,38.87634307562251,37.122103764817446,3,"0,1,2",24,230,0.905511811023622,30,115,0.452755905511811,False,109,115,30
85,127,297,64,361,6.363962900009938,0.017628706094210352,38.15935418740689,37.060327999368056,3,"0,1,2",24,230,0.905511811023622,30,115,0.452755905511811,False,115,109,30
86,128,297,59,356,6.856968300009612,0.01926114691013936,38.12081106564624,37.060327991559134,3,"0,1,2",24,230,0.905511811023622,30,115,0.452755905511811,False,115,109,30
87,129,297,81,378,6.760006199998315,0.01788361428570983,38.97381313903145,37.38064780593632,3,"0,1,2",27,227,0.8937007874015748,34,116,0.4566929133858268,False,104,116,34
88,130,297,16,313,6.844276899995748,0.02186669936100878,37.92225785461478,54.23986290227428,3,"0,1,2",221,33,0.12992125984251968,6,187,0.7362204724409449,False,187,61,6
89,131,297,47,344,7.270884099998511,0.021136290988367765,37.13533757990277,37.679622608138224,3,"0,1,2",30,224,0.8818897637795275,38,115,0.452755905511811,False,115,101,38
90,132,297,20,317,6.144472300016787,0.019383193375447277,38.8219639132471,49.26559993749146,3,"0,1,2",209,45,0.17716535433070865,25,178,0.7007874015748031,False,25,51,178
91,133,297,28,325,6.351480899960734,0.019543018153725337,36.948942460064195,52.672486075251385,3,"0,1,2",181,73,0.2874015748031496,21,130,0.5118110236220472,False,130,21,103
92,134,297,12,309,4.963834499998484,0.01606418932038344,53.420721248718614,55.11060533846555,3,"0,1,2",221,33,0.12992125984251968,14,184,0.7244094488188977,False,14,56,184
93,135,297,65,362,6.726723100000527,0.018582108011051177,40.55625310167362,37.67962260717906,3,"0,1,2",30,224,0.8818897637795275,38,115,0.452755905511811,False,101,38,115
94,136,297,11,308,5.296359899977688,0.017195973701226257,51.49382813866757,49.26559993722056,3,"0,1,2",209,45,0.17716535433070865,25,178,0.7007874015748031,False,25,178,51
95,137,297,14,311,5.075923600001261,0.016321297749200193,51.8346990164602,55.11060533846416,3,"0,1,2",221,33,0.12992125984251968,14,184,0.7244094488188977,False,56,14,184
96,138,297,11,308,4.929277000017464,0.016004146103952805,68.43391544389529,64.01822898874528,3,"0,1,2",242,12,0.047244094488188976,5,225,0.8858267716535433,True,5,225,24
97,139,297,62,359,7.042518799949903,0.019617044011002515,38.428772112842246,37.679622611765915,3,"0,1,2",30,224,0.8818897637795275,38,115,0.452755905511811,False,115,38,101
98,140,297,16,313,5.780039899982512,0.018466581150103873,48.97749869645683,55.08700095688394,3,"0,1,2",224,30,0.11811023622047244,14,178,0.7007874015748031,False,178,62,14
99,141,297,13,310,5.835544499976095,0.01882433709669708,49.109204573149356,49.26559993743508,3,"0,1,2",209,45,0.17716535433070865,25,178,0.7007874015748031,False,51,25,178
100,142,297,25,322,5.461242499994114,0.01696038043476433,55.01283925971764,55.122476333108786,3,"0,1,2",224,30,0.11811023622047244,14,178,0.7007874015748031,False,178,62,14
TOTAL_RUNTIME,,,,,635.7502595999977,,,,,,,,,,,,,,,
