run,seed,n_iter_internal,total_time_sec,avg_time_per_iter_sec,final_objective,n_label_aktif,label_aktif,n_lower_objects,n_boundary_objects,avg_active_clusters_per_object,boundary_ratio,max_cluster_ratio,min_cluster_size,max_cluster_size,n_label_0,n_label_1,n_label_2,n_label_3,is_very_imbalanced
60,102,20,0.022850400069728494,0.0011425200034864246,44.48683651337316,4,"0,1,2,3",191,63,1.2598425196850394,0.24803149606299213,0.5393700787401575,21,137,137,21,75,21,False
61,103,18,0.019116900046356022,0.0010620500025753346,44.335215726684865,4,"0,1,2,3",193,61,1.2559055118110236,0.24015748031496062,0.531496062992126,21,135,21,23,135,75,False
62,104,17,0.0220403999555856,0.001296494115034447,43.454914299221215,4,"0,1,2,3",188,66,1.2755905511811023,0.25984251968503935,0.5354330708661418,20,136,23,20,136,75,False
63,105,26,0.0269059999845922,0.0010348461532535462,45.37324758626841,4,"0,1,2,3",228,26,1.110236220472441,0.10236220472440945,0.7125984251968503,13,181,25,181,13,35,False
64,106,18,0.018537300056777894,0.0010298500031543274,44.13019733746548,4,"0,1,2,3",192,62,1.2598425196850394,0.2440944881889764,0.5393700787401575,21,137,21,73,23,137,False
65,107,21,0.02003249991685152,0.00095392856746912,44.56252775393746,4,"0,1,2,3",214,40,1.1614173228346456,0.15748031496062992,0.6811023622047244,13,173,173,25,43,13,False
66,108,34,0.03374860004987568,0.000992605883819873,45.373247586268405,4,"0,1,2,3",228,26,1.110236220472441,0.10236220472440945,0.7125984251968503,13,181,25,181,35,13,False
67,109,19,0.019963699975050986,0.001050721051318473,44.547045683216936,4,"0,1,2,3",195,59,1.2480314960629921,0.23228346456692914,0.531496062992126,21,135,75,21,23,135,False
68,110,30,0.027204200043343008,0.0009068066681114336,43.96565657571088,4,"0,1,2,3",213,41,1.1653543307086613,0.16141732283464566,0.6653543307086615,13,169,13,25,47,169,False
69,111,20,0.019734299974516034,0.0009867149987258018,50.78530463822162,4,"0,1,2,3",226,28,1.1141732283464567,0.11023622047244094,0.7440944881889764,2,189,189,38,2,25,False
70,112,19,0.018952100072056055,0.000997478951160845,43.96565657571053,4,"0,1,2,3",213,41,1.1653543307086613,0.16141732283464566,0.6653543307086615,13,169,169,13,47,25,False
71,113,15,0.015123300021514297,0.0010082200014342865,52.87209598108812,4,"0,1,2,3",222,32,1.125984251968504,0.12598425196850394,0.7362204724409449,2,187,187,61,4,2,False
72,114,23,0.023156199953518808,0.0010067913023269048,48.1200317565181,4,"0,1,2,3",212,42,1.169291338582677,0.16535433070866143,0.7244094488188977,5,184,184,14,5,51,False
73,115,16,0.019947500084526837,0.0012467187552829273,43.49287948723972,4,"0,1,2,3",188,66,1.2755905511811023,0.25984251968503935,0.5354330708661418,20,136,136,75,20,23,False
74,116,54,0.049286199966445565,0.000912707406786029,45.373247586268405,4,"0,1,2,3",228,26,1.110236220472441,0.10236220472440945,0.7125984251968503,13,181,13,25,181,35,False
75,117,15,0.015442600008100271,0.0010295066672066848,46.4367121339887,4,"0,1,2,3",192,62,1.2480314960629921,0.2440944881889764,0.5669291338582677,5,144,144,21,5,84,False
