combo_id,run,N_FIREFLIES,MAX_ITER_FA,ALPHA0,THETA,BETA0,GAMMA,seed,refine_iter,final_objective,max_cluster_ratio,boundary_ratio,is_imbalanced
74,2,25,100,1.0,0.95,0.5,0.5,44,29,45.37324758626836,0.7125984251968503,0.10236220472440945,False
74,3,25,100,1.0,0.95,0.5,0.5,45,17,49.47219147298283,0.7598425196850394,0.0984251968503937,False
74,4,25,100,1.0,0.95,0.5,0.5,46,23,44.6768320260859,0.5393700787401575,0.24015748031496062,False
74,5,25,100,1.0,0.95,0.5,0.5,47,18,48.250404021039714,0.7125984251968503,0.15354330708661418,False
75,1,25,100,1.0,0.95,0.5,1.0,43,28,48.37621476418868,0.5078740157480315,0.3188976377952756,False
75,2,25,100,1.0,0.95,0.5,1.0,44,29,45.37324758626836,0.7125984251968503,0.10236220472440945,False
75,3,25,100,1.0,0.95,0.5,1.0,45,17,49.47219147298283,0.7598425196850394,0.0984251968503937,False
75,4,25,100,1.0,0.95,0.5,1.0,46,23,44.6768320260859,0.5393700787401575,0.24015748031496062,False
75,5,25,100,1.0,0.95,0.5,1.0,47,18,48.250404021039714,0.7125984251968503,0.15354330708661418,False
76,1,25,100,1.0,0.95,0.5,2.0,43,28,48.37621476418868,0.5078740157480315,0.3188976377952756,False
76,2,25,100,1.0,0.95,0.5,2.0,44,29,45.37324758626836,0.7125984251968503,0.10236220472440945,False
76,3,25,100,1.0,0.95,0.5,2.0,45,17,49.47219147298283,0.7598425196850394,0.0984251968503937,False
76,4,25,100,1.0,0.95,0.5,2.0,46,23,44.6768320260859,0.5393700787401575,0.24015748031496062,False
76,5,25,100,1.0,0.95,0.5,2.0,47,18,48.250404021039714,0.7125984251968503,0.15354330708661418,False
77,1,25,100,1.0,0.95,1.0,0.1,43,21,47.98232570967214,0.5118110236220472,0.3228346456692913,False
77,2,25,100,1.0,0.95,1.0,0.1,44,136,34.08354387791964,0.41732283464566927,0.8503937007874016,False
77,3,25,100,1.0,0.95,1.0,0.1,45,200,34.82931076932422,0.47244094488188976,0.8779527559055118,False
77,4,25,100,1.0,0.95,1.0,0.1,46,136,44.50077038382244,0.531496062992126,0.23622047244094488,False
77,5,25,100,1.0,0.95,1.0,0.1,47,18,48.25040402103967,0.7125984251968503,0.15354330708661418,False
78,1,25,100,1.0,0.95,1.0,0.5,43,28,48.37621476418868,0.5078740157480315,0.3188976377952756,False
78,2,25,100,1.0,0.95,1.0,0.5,44,29,45.37324758626836,0.7125984251968503,0.10236220472440945,False
78,3,25,100,1.0,0.95,1.0,0.5,45,17,49.47219147298283,0.7598425196850394,0.0984251968503937,False
78,4,25,100,1.0,0.95,1.0,0.5,46,23,44.6768320260859,0.5393700787401575,0.24015748031496062,False
78,5,25,100,1.0,0.95,1.0,0.5,47,18,48.250404021039714,0.7125984251968503,0.15354330708661418,False
79,1,25,100,1.0,0.95,1.0,1.0,43,28,48.37621476418868,0.5078740157480315,0.3188976377952756,False
