run,seed,n_iter_internal,total_time_sec,avg_time_per_iter_sec,final_objective,n_label_aktif,label_aktif,n_label_0,n_label_1,n_label_2,n_label_3
21,63,200,0.22435769997537136,0.0011217884998768568,20.14342603256897,4,"0,1,2,3",44,77,7,126
22,64,200,0.21781489998102188,0.0010890744999051095,20.14343403054179,4,"0,1,2,3",8,126,43,77
23,65,200,0.21949739998672158,0.0010974869999336079,20.143419928252367,4,"0,1,2,3",77,47,126,4
24,66,200,0.21780689992010593,0.0010890344996005296,20.143442704705524,4,"0,1,2,3",77,8,43,126
25,67,200,0.21975250006653368,0.0010987625003326684,20.14343800980069,4,"0,1,2,3",43,77,8,126
26,68,200,0.22040859994012862,0.0011020429997006431,20.143418819037365,4,"0,1,2,3",77,47,126,4
27,69,200,0.22051479993388057,0.0011025739996694027,20.143417928373033,4,"0,1,2,3",4,77,126,47
28,70,200,0.22142019995953888,0.0011071009997976945,20.14344156300973,4,"0,1,2,3",8,126,43,77
29,71,200,0.22094809997361153,0.0011047404998680576,20.143441542461524,4,"0,1,2,3",43,126,77,8
30,72,200,0.2241306999931112,0.001120653499965556,20.143443608417112,4,"0,1,2,3",77,126,8,43
31,73,200,0.2180194000247866,0.001090097000123933,20.14341434109325,4,"0,1,2,3",48,77,126,3
32,74,200,0.2226797000039369,0.0011133985000196843,20.143423630819566,4,"0,1,2,3",77,7,44,126
33,75,200,0.21837979997508228,0.0010918989998754114,20.143411605365134,4,"0,1,2,3",2,49,77,126
34,76,200,0.2206947999075055,0.0011034739995375276,20.143421779284154,4,"0,1,2,3",77,126,3,48
35,77,200,0.22009179997257888,0.0011004589998628944,20.143439161937884,4,"0,1,2,3",126,8,77,43
36,78,200,0.2209772999631241,0.0011048864998156206,20.14342093465653,4,"0,1,2,3",126,77,44,7
37,79,200,0.22103559994138777,0.001105177999706939,20.143416026328893,4,"0,1,2,3",49,77,2,126
38,80,200,0.2188772999215871,0.0010943864996079355,20.14341492901056,4,"0,1,2,3",77,126,3,48
39,81,200,0.21913109999150038,0.001095655499957502,20.1434068575287,3,"0,2,3",77,0,127,50
40,82,200,0.21959510003216565,0.0010979755001608283,20.143440729906857,4,"0,1,2,3",77,126,8,43
41,83,200,0.2212135000154376,0.001106067500077188,20.143440930756384,4,"0,1,2,3",43,77,126,8
42,84,200,0.21885459998156875,0.0010942729999078437,20.14344406461686,4,"0,1,2,3",43,77,126,8
43,85,200,0.22105519997421652,0.0011052759998710826,20.143419664963098,4,"0,1,2,3",4,126,47,77
44,86,200,0.21743389999028295,0.0010871694999514147,20.143438883051388,4,"0,1,2,3",43,8,77,126
45,87,200,0.2218847000040114,0.001109423500020057,20.143409303664356,4,"0,1,2,3",49,127,1,77
46,88,200,0.2208474000217393,0.0011042370001086966,20.14343205978178,4,"0,1,2,3",126,8,43,77
47,89,200,0.22322090005036443,0.001116104500251822,20.143423174448994,4,"0,1,2,3",44,7,77,126
48,90,200,0.22195499995723367,0.0011097749997861684,20.14342697019415,4,"0,1,2,3",77,7,126,44
49,91,200,0.2209525000071153,0.0011047625000355765,20.143449133142703,4,"0,1,2,3",77,126,8,43
50,92,200,0.22247970011085272,0.0011123985005542635,20.143433027598558,4,"0,1,2,3",126,77,43,8
51,93,200,0.21790069993585348,0.0010895034996792675,20.14343405397299,4,"0,1,2,3",43,8,77,126
52,94,200,0.2226687999209389,0.0011133439996046945,20.143443820853847,4,"0,1,2,3",126,8,43,77
