Tahun,Provinsi,Timbulan Sampah Harian(ton),Sisa Makanan (%),Kayu-Ranting (%),Kertas-Karton (%),Plastik(%),Logam(%),Kain(%),Karet- Kulit (%),Kaca(%),Lainnya(%),Rumah Tangga(ton),Perkantoran(ton),Pasar(ton),Perniagaan(ton),Fasilitas Publik(ton),Kawasan(ton),Lain(ton)
2022,Sumatera Selatan,251.11,51.78,8.765,10.14,17.09,1.79,2.4,1.295,1.2,3.21,54.52,3.16,18.0,2.1,1.24,0.97,2.75
2022,Sumatera Utara,213.04000000000002,32.5,10.51,11.715,13.26,1.555,3.1399999999999997,2.065,2.585,10.125,62.974999999999994,5.115,23.23,9.0,4.51,9.975714285714286,9.74
2023,Aceh,96.78,30.0,14.0,10.0,21.6,4.0,3.0,3.0,2.45,5.0,18.67,2.2,11.5,5.65,2.865,2.25,2.0
2023,Bali,256.945,24.83,44.900000000000006,5.8100000000000005,11.515,1.255,1.225,1.025,0.97,2.45,87.04,1.9728571428571429,12.15,2.2,1.97,3.1,2.6
2023,Banten,601.38,57.65,7.43,9.13,17.45,1.07,1.47,0.68,0.37,5.0,544.0125,14.9175,29.25,123.00999999999999,67.975,19.616666666666667,38.105
2023,Bengkulu,181.12,64.45,8.57,8.56,12.86,2.3,1.0,1.2,1.0,3.7,45.0,6.765,29.43,16.3,13.585,17.7825,8.04
2023,DKI Jakarta,1971.13,49.87,3.18,17.24,22.95,1.08,0.9,0.7,1.48,2.6,20.7,215.365,63.0,83.63,0.0,141.27,11.6
2023,Daerah Istimewa Yogyakarta,414.65,49.015,0.25,16.155,30.155,0.795,0.615,0.425,0.835,1.8199999999999998,291.03999999999996,1.765,55.400000000000006,48.665000000000006,8.6,29.0,22.625
2023,Gorontalo,101.105,36.3,13.75,12.15,26.46,2.2733333333333334,2.1,6.15,2.1166666666666667,11.146666666666667,33.555,3.325,16.25,7.904999999999999,9.125,3.925,10.338333333333333
2023,Jambi,152.82,50.519999999999996,8.844999999999999,12.695,11.895,1.9300000000000002,2.05,3.38,1.0,3.8150000000000004,19.134999999999998,1.51,43.269999999999996,2.2750000000000004,0.94,3.02,26.13
2023,Jawa Barat,724.0350000000001,40.0,7.5,11.75,17.0,1.0,2.7199999999999998,0.9,1.9849999999999999,7.08,421.33000000000004,21.955,50.0,71.4,31.799999999999997,20.96,14.193999999999999
