Run,Metode,k,Xie-Beni,File,File_Membership
68,FRCM,4,251052412.97277072,frcm_k4_run68.csv,frcm_k4_run68.csv
69,FRCM,4,6275946.3619097015,frcm_k4_run69.csv,frcm_k4_run69.csv
70,FRCM,4,17765956.03562378,frcm_k4_run70.csv,frcm_k4_run70.csv
71,FRCM,4,10667594.189927867,frcm_k4_run71.csv,frcm_k4_run71.csv
72,FRCM,4,7520692.09822733,frcm_k4_run72.csv,frcm_k4_run72.csv
73,FRCM,4,13967138.7210355,frcm_k4_run73.csv,frcm_k4_run73.csv
74,FRCM,4,79932811.6795865,frcm_k4_run74.csv,frcm_k4_run74.csv
75,FRCM,4,29777610.997296397,frcm_k4_run75.csv,frcm_k4_run75.csv
76,FRCM,4,175106599.17471385,frcm_k4_run76.csv,frcm_k4_run76.csv
77,FRCM,4,124589596.08096103,frcm_k4_run77.csv,frcm_k4_run77.csv
78,FRCM,4,260514979.7271597,frcm_k4_run78.csv,frcm_k4_run78.csv
79,FRCM,4,18193022.353718426,frcm_k4_run79.csv,frcm_k4_run79.csv
80,FRCM,4,9152547.513509423,frcm_k4_run80.csv,frcm_k4_run80.csv
81,FRCM,4,104262082.28277571,frcm_k4_run81.csv,frcm_k4_run81.csv
82,FRCM,4,267399198.96645337,frcm_k4_run82.csv,frcm_k4_run82.csv
83,FRCM,4,20953094.570098132,frcm_k4_run83.csv,frcm_k4_run83.csv
84,FRCM,4,141426920.19293818,frcm_k4_run84.csv,frcm_k4_run84.csv
85,FRCM,4,34416765.44845739,frcm_k4_run85.csv,frcm_k4_run85.csv
86,FRCM,4,96125451.17364894,frcm_k4_run86.csv,frcm_k4_run86.csv
87,FRCM,4,96125451.17364894,frcm_k4_run87.csv,frcm_k4_run87.csv
88,FRCM,4,20226660.572939377,frcm_k4_run88.csv,frcm_k4_run88.csv
89,FRCM,4,14104695.750115493,frcm_k4_run89.csv,frcm_k4_run89.csv
90,FRCM,4,141426920.19293818,frcm_k4_run90.csv,frcm_k4_run90.csv
91,FRCM,4,21143332.925432503,frcm_k4_run91.csv,frcm_k4_run91.csv
92,FRCM,4,9105027.509628957,frcm_k4_run92.csv,frcm_k4_run92.csv
93,FRCM,4,81240643.74844562,frcm_k4_run93.csv,frcm_k4_run93.csv
94,FRCM,4,128479415.5186931,frcm_k4_run94.csv,frcm_k4_run94.csv
95,FRCM,4,105759335.87304126,frcm_k4_run95.csv,frcm_k4_run95.csv
96,FRCM,4,46397641.9525195,frcm_k4_run96.csv,frcm_k4_run96.csv
97,FRCM,4,37517962.97063178,frcm_k4_run97.csv,frcm_k4_run97.csv
98,FRCM,4,260514979.7271597,frcm_k4_run98.csv,frcm_k4_run98.csv
99,FRCM,4,108686614.96699928,frcm_k4_run99.csv,frcm_k4_run99.csv
100,FRCM,4,39716846.37829746,frcm_k4_run100.csv,frcm_k4_run100.csv
1,FA-FRCM,3,52289267.67066912,fafrcm_k3_run1.csv,fafrcm_k3_run1.csv
2,FA-FRCM,3,42246688.14589908,fafrcm_k3_run2.csv,fafrcm_k3_run2.csv
3,FA-FRCM,3,27536294.30646331,fafrcm_k3_run3.csv,fafrcm_k3_run3.csv
4,FA-FRCM,3,32981264.284231156,fafrcm_k3_run4.csv,fafrcm_k3_run4.csv
5,FA-FRCM,3,32027468.681095414,fafrcm_k3_run5.csv,fafrcm_k3_run5.csv
6,FA-FRCM,3,243785989.87183738,fafrcm_k3_run6.csv,fafrcm_k3_run6.csv
