run,seed,n_iter_internal,total_time_sec,avg_time_per_iter_sec,final_objective,n_label_aktif,label_aktif,n_lower_objects,n_boundary_objects,avg_active_clusters_per_object,boundary_ratio,max_cluster_ratio,min_cluster_size,max_cluster_size,n_label_0,n_label_1,n_label_2,n_label_3,is_very_imbalanced
46,88,14,0.015358100004959852,0.0010970071432114179,44.50077038383689,4,"0,1,2,3",194,60,1.2480314960629921,0.23622047244094488,0.531496062992126,20,135,20,135,76,23,False
47,89,19,0.02026959997601807,0.0010668210513693722,43.96565657580593,4,"0,1,2,3",213,41,1.1653543307086613,0.16141732283464566,0.6653543307086615,13,169,25,47,169,13,False
48,90,20,0.019738700008019805,0.0009869350004009902,50.0076991873772,4,"0,1,2,3",180,74,1.2913385826771653,0.29133858267716534,0.5118110236220472,4,130,4,130,97,23,False
49,91,35,0.032707299978937954,0.0009344942851125129,45.37324758626971,4,"0,1,2,3",228,26,1.110236220472441,0.10236220472440945,0.7125984251968503,13,181,25,13,181,35,False
50,92,14,0.014519100019242615,0.0010370785728030438,44.500770383864285,4,"0,1,2,3",194,60,1.2480314960629921,0.23622047244094488,0.531496062992126,20,135,20,23,76,135,False
51,93,16,0.016433399985544384,0.001027087499096524,44.48569017343485,4,"0,1,2,3",214,40,1.1614173228346456,0.15748031496062992,0.6811023622047244,13,173,25,43,173,13,False
52,94,16,0.01716719998512417,0.0010729499990702607,44.363770587514786,4,"0,1,2,3",193,61,1.2519685039370079,0.24015748031496062,0.531496062992126,21,135,21,135,23,75,False
53,95,20,0.021845799987204373,0.0010922899993602187,44.56634182416321,4,"0,1,2,3",195,59,1.2480314960629921,0.23228346456692914,0.5393700787401575,21,137,73,137,23,21,False
54,96,19,0.022058999980799854,0.001160999998989466,44.48683651339577,4,"0,1,2,3",191,63,1.2598425196850394,0.24803149606299213,0.5393700787401575,21,137,137,21,21,75,False
55,97,23,0.02589379996061325,0.0011258173895918806,44.50077038382442,4,"0,1,2,3",194,60,1.2480314960629921,0.23622047244094488,0.531496062992126,20,135,20,23,135,76,False
56,98,16,0.018138799990992993,0.001133674999437062,44.35326187993756,4,"0,1,2,3",194,60,1.2519685039370079,0.23622047244094488,0.531496062992126,21,135,75,135,21,23,False
57,99,39,0.037261600024066865,0.0009554256416427401,44.50077038383408,4,"0,1,2,3",194,60,1.2480314960629921,0.23622047244094488,0.531496062992126,20,135,23,135,20,76,False
58,100,17,0.018258599971886724,0.001074035292463925,44.50077038383478,4,"0,1,2,3",194,60,1.2480314960629921,0.23622047244094488,0.531496062992126,20,135,20,135,76,23,False
59,101,14,0.015507200034335256,0.0011076571453096612,44.21628253253748,4,"0,1,2,3",193,61,1.2559055118110236,0.24015748031496062,0.531496062992126,21,135,21,75,135,23,False
60,102,19,0.021370199974626303,0.001124747367085595,44.486836513400235,4,"0,1,2,3",191,63,1.2598425196850394,0.24803149606299213,0.5393700787401575,21,137,137,21,75,21,False
61,103,16,0.017022999993059784,0.0010639374995662365,44.33521572695514,4,"0,1,2,3",193,61,1.2559055118110236,0.24015748031496062,0.531496062992126,21,135,21,23,135,75,False
62,104,16,0.019776000001002103,0.0012360000000626314,43.45491429926345,4,"0,1,2,3",188,66,1.2755905511811023,0.25984251968503935,0.5354330708661418,20,136,23,20,136,75,False
63,105,25,0.02581849996931851,0.0010327399987727403,45.37324758626974,4,"0,1,2,3",228,26,1.110236220472441,0.10236220472440945,0.7125984251968503,13,181,25,181,13,35,False
64,106,16,0.016617000044789165,0.0010385625027993228,44.13019733761723,4,"0,1,2,3",192,62,1.2598425196850394,0.2440944881889764,0.5393700787401575,21,137,21,73,23,137,False
65,107,20,0.01861909998115152,0.000930954999057576,44.562527753952466,4,"0,1,2,3",214,40,1.1614173228346456,0.15748031496062992,0.6811023622047244,13,173,173,25,43,13,False
66,108,33,0.03235209995182231,0.0009803666652067368,45.37324758626971,4,"0,1,2,3",228,26,1.110236220472441,0.10236220472440945,0.7125984251968503,13,181,25,181,35,13,False
67,109,18,0.01913470000727102,0.0010630388892928346,44.54704568323997,4,"0,1,2,3",195,59,1.2480314960629921,0.23228346456692914,0.531496062992126,21,135,75,21,23,135,False
68,110,29,0.05194929998833686,0.001791355172011616,43.96565657572369,4,"0,1,2,3",213,41,1.1653543307086613,0.16141732283464566,0.6653543307086615,13,169,13,25,47,169,False
69,111,19,0.015636400028597564,0.0008229684225577665,50.78530463824746,4,"0,1,2,3",226,28,1.1141732283464567,0.11023622047244094,0.7440944881889764,2,189,189,38,2,25,False
70,112,17,0.016043899988289922,0.0009437588228405837,43.96565657583672,4,"0,1,2,3",213,41,1.1653543307086613,0.16141732283464566,0.6653543307086615,13,169,169,13,47,25,False
71,113,14,0.013701100018806756,0.0009786500013433397,52.87209598110536,4,"0,1,2,3",222,32,1.125984251968504,0.12598425196850394,0.7362204724409449,2,187,187,61,4,2,False
72,114,21,0.02195429999846965,0.0010454428570699833,48.120031756590244,4,"0,1,2,3",212,42,1.169291338582677,0.16535433070866143,0.7244094488188977,5,184,184,14,5,51,False
73,115,15,0.018613799999002367,0.001240919999933491,43.4928794872486,4,"0,1,2,3",188,66,1.2755905511811023,0.25984251968503935,0.5354330708661418,20,136,136,75,20,23,False
74,116,53,0.04928949999157339,0.0009299905658787433,45.37324758626971,4,"0,1,2,3",228,26,1.110236220472441,0.10236220472440945,0.7125984251968503,13,181,13,25,181,35,False
