N_FIREFLIES,MAX_ITER_FA,ALPHA0,THETA,BETA0,GAMMA,avg_final_objective,std_final_objective,avg_max_cluster_ratio,std_max_cluster_ratio,avg_boundary_ratio,n_imbalanced_runs,score_select
40,1000,1.0,0.9703433127056723,1.2443495561168858,0.26659492617566016,47.4397627916856,1.79371993468085,0.6496062992125984,0.11079722267299438,0.18582677165354328,0,53.93582578381159
32,1000,1.0,0.9783618356750319,0.9888347052383379,0.6722153372325038,47.4397627916856,1.79371993468085,0.6496062992125984,0.11079722267299438,0.18582677165354328,0,53.93582578381159
31,1000,1.0,0.968407667702398,1.117475863373176,0.3404776054854045,47.4397627916856,1.79371993468085,0.6496062992125984,0.11079722267299438,0.18582677165354328,0,53.93582578381159
37,1000,1.0,0.9681050812292783,1.3437807919818805,0.30238120576359007,47.4397627916856,1.79371993468085,0.6496062992125984,0.11079722267299438,0.18582677165354328,0,53.93582578381159
31,1000,1.0,0.9690977943917558,0.9021847535527464,1.1341859777859888,47.4397627916856,1.79371993468085,0.6496062992125984,0.11079722267299438,0.18582677165354328,0,53.93582578381159
31,1000,1.0,0.9672180833161445,1.0492609079119402,0.3344413254480737,47.4397627916856,1.79371993468085,0.6496062992125984,0.11079722267299438,0.18582677165354328,0,53.93582578381159
36,1000,1.0,0.9723318283924226,0.7560685379539982,0.7535720066623641,47.4397627916856,1.79371993468085,0.6496062992125984,0.11079722267299438,0.18582677165354328,0,53.93582578381159
33,1000,1.0,0.9774215557660544,0.6433839517081711,0.2314817943769984,47.4397627916856,1.79371993468085,0.6496062992125984,0.11079722267299438,0.18582677165354328,0,53.93582578381159
32,1000,1.0,0.9518580165087999,1.4113172778521577,0.4239958350058539,47.4397627916856,1.79371993468085,0.6496062992125984,0.11079722267299438,0.18582677165354328,0,53.93582578381159
37,1000,1.0,0.958493564427131,0.7727374508106509,0.4484685687215243,47.4397627916856,1.79371993468085,0.6496062992125984,0.11079722267299438,0.18582677165354328,0,53.93582578381159
32,1000,1.0,0.9783229031118418,0.5308767414437037,1.9428287191077893,47.4397627916856,1.79371993468085,0.6496062992125984,0.11079722267299438,0.18582677165354328,0,53.93582578381159
32,1000,1.0,0.9555797544260817,0.9382169728028272,0.7960875022580142,47.4397627916856,1.79371993468085,0.6496062992125984,0.11079722267299438,0.18582677165354328,0,53.93582578381159
40,1000,1.0,0.9768011002296729,1.0370212889404482,0.36979977508892126,47.4397627916856,1.79371993468085,0.6496062992125984,0.11079722267299438,0.18582677165354328,0,53.93582578381159
37,1000,1.0,0.9708683353231515,0.7880944207420371,0.20920573871365855,47.4397627916856,1.79371993468085,0.6496062992125984,0.11079722267299438,0.18582677165354328,0,53.93582578381159
39,1000,1.0,0.9669746397633239,1.0711508247349264,0.5469659181095037,47.4397627916856,1.79371993468085,0.6496062992125984,0.11079722267299438,0.18582677165354328,0,53.93582578381159
33,1000,1.0,0.9660354643230314,0.9784371062059866,0.7599467206789252,47.4397627916856,1.79371993468085,0.6496062992125984,0.11079722267299438,0.18582677165354328,0,53.93582578381159
35,1000,1.0,0.9505301686776942,0.7082192563288815,1.7451156130498249,47.4397627916856,1.79371993468085,0.6496062992125984,0.11079722267299438,0.18582677165354328,0,53.93582578381159
34,1000,1.0,0.9723993808428602,0.6875952073652676,0.2910287746098186,47.4397627916856,1.79371993468085,0.6496062992125984,0.11079722267299438,0.18582677165354328,0,53.93582578381159
35,1000,1.0,0.9667027176342381,1.2354265039220327,0.30004546523728515,47.4397627916856,1.79371993468085,0.6496062992125984,0.11079722267299438,0.18582677165354328,0,53.93582578381159
21,1000,1.0,0.9879554214901333,1.948448049611839,1.6359549614212763,47.43976279168575,1.7937199346806854,0.6496062992125984,0.11079722267299438,0.18582677165354328,0,53.93582578381174
20,1000,1.0,0.963906515939639,1.6908289614217251,1.5040669820667947,47.43976279168575,1.7937199346806854,0.6496062992125984,0.11079722267299438,0.18582677165354328,0,53.93582578381174
