run,seed,fa_iter,frcm_refine_iter,total_iter_used,total_time_sec,avg_time_per_iter_sec,best_fa_objective,final_refined_objective,n_label_aktif,label_aktif,n_lower_objects,n_boundary_objects,boundary_ratio,min_cluster_size,max_cluster_size,max_cluster_ratio,is_very_imbalanced,n_label_0,n_label_1,n_label_2
33,75,100,23,123,1.54620820004493,0.012570798374349025,53.33949588274808,52.42686747297584,3,"0,1,2",179,75,0.2952755905511811,21,133,0.5236220472440944,False,133,100,21
34,76,100,15,115,1.4938885000301525,0.01299033478287089,56.73110240713618,52.88679713734268,3,"0,1,2",230,24,0.09448818897637795,24,198,0.7795275590551181,False,32,24,198
35,77,100,21,121,1.765150099992752,0.014588017355312,42.62481596211439,52.67248607508721,3,"0,1,2",181,73,0.2874015748031496,21,130,0.5118110236220472,False,130,103,21
36,78,100,117,217,1.9512455000076443,0.008991914746579005,43.96946600634824,37.38064774206471,3,"0,1,2",27,227,0.8937007874015748,34,116,0.4566929133858268,False,104,34,116
37,79,100,17,117,1.8582177000353113,0.01588220256440437,45.15448321416038,49.26559993717577,3,"0,1,2",209,45,0.17716535433070865,25,178,0.7007874015748031,False,25,178,51
38,80,100,19,119,1.5893273000838235,0.013355691597343055,49.301438611810354,52.586650730019144,3,"0,1,2",225,29,0.1141732283464567,25,191,0.7519685039370079,False,38,25,191
39,81,100,27,127,1.8328691000351682,0.01443204015775723,43.293330423296496,55.12247633304527,3,"0,1,2",224,30,0.11811023622047244,14,178,0.7007874015748031,False,178,14,62
40,82,100,15,115,1.4593711000634357,0.012690183478812485,56.24359173193583,52.886797137342676,3,"0,1,2",230,24,0.09448818897637795,24,198,0.7795275590551181,False,24,198,32
41,83,100,14,114,1.633930900017731,0.01433272719313799,50.68095086109189,49.26559993717456,3,"0,1,2",209,45,0.17716535433070865,25,178,0.7007874015748031,False,178,51,25
42,84,100,76,176,1.8226074000122026,0.010355723863705696,41.27781448295483,37.060327937140656,3,"0,1,2",24,230,0.905511811023622,30,115,0.452755905511811,False,30,109,115
